Name,ASIN,Refurbished,Multi-Select,Price,Sales Rank,Total Reviews,Seller Offers,Cost per Unit,Net Profit,Margin Percent,Woot Link
Apple Magic Keyboard for iPad Pro 11-inch (3rd Generation and iPad Air - 4th Generation) - US English - Black (Refurbished),B0863BQJMS,True,False,139.0,"#1, (Tablet Keyboards)","11,025",4 offers,172.15,76.85,30.86,https://www.woot.com/offers/apple-magic-keyboard-for-11-ipad-pro-1?ref=mwj_cd_deal_1
Fire TV Stick with Alexa Voice Remote (includes TV controls) | HD streaming device | 2020 release,B07ZZVX1F2,False,False,19.99,"205,458",,1 offers,27.72,-2.73,-10.91,https://www.woot.com/offers/fire-tv-stick-with-alexa-voice-remote-2020-release-15?ref=mwj_cd_deal_3
Samsung 25W USB-C Super Fast Wall Charger (USB-C cable is NOT included),B08NRBRZH4,False,False,12.99,"#102, (Cell Phones & Accessories)","10,994",5 offers,18.97,-4.02,-26.88,https://www.woot.com/offers/samsung-25w-usb-c-super-fast-wall-charger-9?ref=mwj_cd_deal_4
"Apple Magic Keyboard for 12.9"" iPad Pro (3rd Gen, 4th Gen, & 5th Gen) - Black (Refurbished)",B09CDR8KHX,True,False,159.99,"#840, (Computer Keyboards)",,2 offers,194.25,155.75,44.5,https://www.woot.com/offers/apple-magic-keyboard-for-12-9-ipad-pro-1?ref=mwj_cd_deal_5
Ninja CREAMi NC301/CN305A 7-Program Ice Cream Maker,B08QXB9BH5,False,False,116.99,"#898, (Kitchen & Dining)",,21 offers,167.86,32.09,16.05,https://www.woot.com/offers/ninja-creami-7-program-ice-cream-maker?ref=mwj_cd_deal_6
Apple AirTag (1pk or 4pk),B0933BVK6T,False,False,26.99,"#5, (Electronics)","41,243",3 offers,32.49,-3.49,-12.04,https://www.woot.com/offers/apple-airtag-1pk-or-4pk-5?ref=mwj_cd_deal_7
Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision | 2018 release,B079QHML21,False,False,24.99,"806,268",,0 offers,29.12,-28.12,-2811.52,https://www.woot.com/offers/fire-tv-stick-4k-streaming-device-with-alexa-voice-remote-11?ref=mwj_cd_deal_8
"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",B08WG4HKKY,False,False,1579.99,"$1,696.99+ 0","#888, (Electronics)",28 offers,1851.6,-154.61,-9.11,https://www.woot.com/offers/lg-oled-c1-series-65-alexa-built-in-4k-smart-tv-new-6?ref=mwj_cd_deal_9
Primula Burke Deluxe Cold Brew 1.6-qt. Coffee Maker,B08NWHFX2S,False,False,9.99,"#1,931, (Home & Kitchen)","14,333",4 offers,19.7,-1.71,-9.53,https://www.woot.com/offers/primula-burke-deluxe-cold-brew-coffee-maker-1?ref=mwj_cd_deal_10
Shark IQ Robot Vacuum RV1001AE/UR1000SR with Self-Empty Base and Smart Mapping (Refurbished),B07YBK6JY3,True,False,179.0,"#70,157, (Home & Kitchen)","3,128",3 offers,242.81,57.18,19.06,https://www.woot.com/offers/shark-iq-robot-vacuum-w-self-empty-base-3?ref=mwj_cd_deal_11
"Amazon Basics USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad: Your Choice",B082T6J4RQ,False,True,6.99,"#748, (Lightning Cables)","46,072",2 offers,13.49,4.95,26.85,https://www.woot.com/offers/iphone-lightning-cable-cord-your-choice?ref=mwj_cd_deal_12
"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Sandstone (NEW)",B07HZJ64WD,False,False,39.99,"93,396",,1 offers,58.25,21.74,27.18,https://www.woot.com/offers/echo-show-5-compact-smart-display-with-alexa-new?ref=mwj_cd_deal_1
Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with more than 2x the Storage – Ad-Supported,B07CXG6C9W,False,False,79.99,"#8,981, (eBook Reader Covers)",,1 offers,86.1,-72.11,-515.43,https://www.woot.com/offers/kindle-paperwhite-2018-model-10th-gen-5?ref=mwj_cd_deal_2
"Amazon Basics Fade-Resistant Cotton Bath Sheet, 2-Pack: Your Choice of Color (Gray or Black)",B07C41PLML,False,True,12.99,"#2,951, (Home & Kitchen)","37,371",1 offers,24.68,1.68,6.39,https://www.woot.com/offers/100-cotton-bath-sheet-2-pack-your-choice?ref=mwj_cd_deal_5
Lock Laces (Elastic No Tie Shoe Laces) (Pack of 3),B07HPD3638,False,False,14.99,"#17,025, (Clothing, Shoes & Jewelry)","6,245",1 offers,22.02,-0.03,-0.12,https://www.woot.com/offers/lock-laces-elastic-no-tie-shoe-laces-3pk-2?ref=mwj_cd_deal_6
Sony WH-1000XM4 Wireless Active Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control (Grade A Refurbished),B0863TXGM3,True,False,179.99,"#11, (Over-Ear Headphones)","32,017",30 offers,220.44,127.56,36.65,https://www.woot.com/offers/sony-wh-1000xm4-wireless-anc-headphones-grade-a-refurbished-8?ref=mwj_cd_deal_7
"TETON Sports Scout 3400 Internal Frame Backpack – Not Your Basic Backpack; High-Performance Backpack for Backpacking, Hiking, Camping; Sewn-in Rain Cover",B01L1FFJIK,False,False,53.99,"#3,182, (Sports & Outdoors)","8,329",3 offers,81.62,-7.35,-9.9,https://www.woot.com/offers/teton-sports-scout-3400-internal-frame-backpack-55l-1?ref=mwj_cd_deal_8
JBL Charge 5 Portable Wireless IP67 Waterproof Bluetooth Speaker (Your Choice of Color),B08X4YMTPM,False,True,139.99,"#10, (Portable Bluetooth Speakers)","4,276",9 offers,158.98,-9.03,-6.02,https://www.woot.com/offers/jbl-charge-5-bluetooth-speaker-10?ref=mwj_cd_deal_9
ReliefBand Anti-Nausea Wristbands: Your Choice,B07HCPYNXQ,False,True,119.99,"#44,376, (Health & Household)","1,919",0 offers,125.2,-124.2,-12420.48,https://www.woot.com/offers/reliefband-anti-nausea-wristbands?ref=mwj_cd_deal_11
